With Two Polarizers
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	3.08125
0.00000	3.08125
0.00000	3.08576
0.00000	3.08560
0.00000	3.08286
0.00000	3.08511
0.00000	3.09107
0.00000	3.08415
0.00000	3.08946
0.00000	3.08447
0.00000	3.07931
0.00000	3.08753
0.00000	3.08253
0.00000	3.08785
0.00000	3.08592
0.00000	3.08495
0.00000	3.08302
0.00000	3.08318
0.00000	3.08995
0.00000	3.08914
0.00000	3.08866
0.00000	3.08463
0.00000	3.08785
0.00000	3.08592
0.00000	3.08850
0.00000	3.08672
0.00000	3.09204
0.00000	3.09059
0.00000	3.08930
0.00000	3.09140
0.00000	3.09575
0.00000	3.08866
0.00000	3.09397
0.00000	3.08785
0.00000	3.08866
0.00000	3.08560
0.00000	3.08543
0.00000	3.08253
0.00000	3.08656
0.00000	3.08576
0.00000	3.09043
0.00000	3.08479
0.00000	3.08705
0.00000	3.11508
0.00000	3.08495
0.00000	3.08334
0.00436	3.08382
0.00873	3.08769
0.02182	3.08092
0.03927	3.08543
0.05672	3.08350
0.06545	3.08044
0.06545	3.08398
0.04800	3.08463
0.04363	3.08189
0.05672	3.08108
0.08290	3.07963
0.10472	3.08286
0.10472	3.08350
0.10036	3.08398
0.10472	3.08302
0.10472	3.08624
0.10472	3.08769
0.10472	3.08656
0.10036	3.08705
0.10472	3.08576
0.10472	3.08946
0.10036	3.08334
0.10472	3.08592
0.10472	3.08060
0.10472	3.07996
0.10472	3.08318
0.10472	3.08366
0.10472	3.08302
0.10472	3.07931
0.10472	3.08366
0.10472	3.08044
0.10472	3.08431
0.10472	3.08511
0.10472	3.08398
0.10472	3.08415
0.10472	3.08302
0.10472	3.08705
0.10472	3.08253
0.10472	3.09043
0.10036	3.08398
0.09599	3.08640
0.10472	3.08882
0.11345	3.08946
0.11781	3.09091
0.12217	3.09832
0.12654	3.11315
0.11781	3.11621
0.10472	3.11508
0.09599	3.11331
0.09163	3.11089
0.09163	3.11009
0.07854	3.10799
0.06109	3.10864
0.06545	3.10719
0.04363	3.11250
0.03054	3.10944
0.02618	3.11605
0.02618	3.11927
0.02182	3.11943
0.02618	3.12120
0.03054	3.10912
0.01309	3.11395
0.01309	3.11862
0.01745	3.10831
0.02182	3.11814
0.01745	3.12362
0.00873	3.12233
0.00000	3.11975
-0.00436	3.12024
-0.00873	3.11750
-0.00873	3.11750
-0.00873	3.12088
-0.01309	3.11669
-0.01309	3.12297
-0.01309	3.11798
-0.00873	3.11508
-0.00873	3.12201
-0.00873	3.11540
-0.01309	3.11895
-0.01309	3.12314
-0.01309	3.12378
-0.01745	3.12265
-0.02182	3.12378
-0.02618	3.12185
-0.02618	3.12072
-0.02618	3.12185
-0.02618	3.12024
-0.02618	3.11911
-0.02618	3.11637
-0.02618	3.11862
-0.02618	3.11621
-0.02618	3.11637
-0.02618	3.11879
-0.02618	3.11717
-0.02618	3.11943
-0.02618	3.11379
-0.02618	3.11959
-0.03491	3.13635
-0.06545	3.18210
-0.09163	3.21255
-0.10908	3.23624
-0.13090	3.25025
-0.15708	3.26266
-0.19199	3.30294
-0.21817	3.31148
-0.23562	3.30600
-0.23562	3.33516
-0.23562	3.32372
-0.23562	3.32501
-0.23562	3.32163
-0.23562	3.32936
-0.23562	3.32582
-0.23998	3.32582
-0.23998	3.32163
-0.23998	3.31953
-0.26616	3.32243
-0.35779	3.32227
-0.44070	3.26427
-0.48869	3.21513
-0.51924	3.16051
-0.55414	3.10396
-0.59778	3.03581
-0.64141	2.94623
-0.65886	2.90644
-0.65886	2.89790
-0.65886	2.89870
-0.66323	2.88533
-0.66323	2.89468
-0.66323	2.90918
-0.66323	2.90273
-0.66323	2.90193
-0.66759	2.90789
-0.69813	2.86068
-0.78976	2.63915
-0.87703	2.40972
-0.92939	2.25425
-0.98175	2.10103
-1.02538	1.98390
-1.03847	1.91962
-1.03847	1.92751
-1.03847	1.92542
-1.03847	1.92236
-1.03847	1.92928
-1.03847	1.93073
-1.03847	1.93315
-1.03847	1.93106
-1.03847	1.93138
-1.03847	1.93073
-1.04283	1.93734
-1.04283	1.93734
-1.04283	1.93541
-1.04283	1.93782
-1.04720	1.93186
-1.05592	1.90222
-1.08210	1.82875
-1.09519	1.78235
-1.11701	1.71339
-1.14319	1.63767
-1.16937	1.56694
-1.19555	1.48671
-1.22173	1.41582
-1.23918	1.33768
-1.26100	1.28838
-1.26100	1.28484
-1.26100	1.28838
-1.26100	1.28419
-1.26100	1.28322
-1.26100	1.28661
-1.26100	1.28580
-1.26100	1.28532
-1.26100	1.28580
-1.26100	1.28516
-1.26100	1.28757
-1.26100	1.28467
-1.27409	1.24875
-1.28718	1.20621
-1.30027	1.16626
-1.31336	1.12888
-1.33081	1.08586
-1.34827	1.02979
-1.36572	0.98597
-1.37008	0.97292
-1.37008	0.97776
-1.37008	0.97437
-1.37008	0.97534
-1.37008	0.97067
-1.37008	0.97808
-1.37008	0.97566
-1.37008	0.96841
-1.37008	0.97437
-1.37008	0.97453
-1.37008	0.97099
-1.37445	0.97389
-1.37445	0.97083
-1.37445	0.97324
-1.37445	0.96728
-1.40499	0.90042
-1.45735	0.74624
-1.48789	0.66971
-1.50971	0.60575
-1.52716	0.57449
-1.54462	0.53663
-1.57080	0.47702
