Polarization of Light 'theta' Data File Wed, Oct 22, 2025 5:21 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	0.46284
0.00000	0.45898
0.00000	0.46349
0.00000	0.46155
0.00000	0.46204
0.00000	0.47122
0.00000	0.46300
0.00000	0.46574
0.00000	0.46220
0.00000	0.46316
0.00000	0.46864
0.00000	0.46590
0.00000	0.46687
0.00000	0.46365
0.00000	0.46461
0.00000	0.46655
0.00000	0.46832
0.00000	0.46687
0.00000	0.46300
0.00000	0.46864
0.00000	0.46316
0.00000	0.46300
0.00000	0.46751
0.00000	0.46026
0.00000	0.46413
0.00000	0.45930
0.00000	0.47090
0.00000	0.46864
0.00000	0.46413
0.00000	0.46526
0.00000	0.46333
0.00000	0.46413
0.00000	0.46252
0.00000	0.46413
0.00000	0.46848
0.00000	0.45978
0.00436	0.45753
0.00436	0.46478
0.00436	0.46252
0.00436	0.46333
0.00436	0.46461
0.00436	0.45559
0.00436	0.46381
0.00436	0.46687
0.00436	0.46252
0.00436	0.46800
0.00436	0.46220
0.00436	0.46220
0.00000	0.45769
-0.00873	0.46252
-0.01309	0.46590
-0.01309	0.46268
-0.01309	0.45753
-0.01309	0.46204
-0.01309	0.46171
-0.01309	0.46461
-0.01309	0.46816
-0.01309	0.46333
-0.01309	0.46268
-0.01309	0.46220
-0.01309	0.46236
-0.01309	0.46735
-0.01309	0.46623
-0.01309	0.46751
-0.01309	0.46010
-0.01309	0.46204
-0.01309	0.45962
-0.01309	0.46445
-0.01309	0.46558
-0.01309	0.46510
-0.01309	0.46574
-0.01309	0.46349
-0.01309	0.46703
-0.01309	0.46236
-0.01309	0.46204
-0.01309	0.46252
-0.01745	0.46445
-0.01745	0.46365
-0.01745	0.46139
-0.01745	0.46445
-0.01745	0.46333
-0.01745	0.46751
-0.01745	0.46397
-0.01745	0.45962
-0.01745	0.46075
-0.01745	0.46349
-0.01745	0.46349
-0.01745	0.45833
-0.01309	0.46252
0.00873	0.45962
0.01309	0.46429
0.00873	0.45946
0.00873	0.46526
0.00873	0.46155
0.00873	0.46155
0.00873	0.46252
0.00873	0.46461
0.00873	0.46171
0.00873	0.46623
0.00873	0.45962
0.00873	0.45559
0.00873	0.45930
0.00873	0.45833
0.00873	0.45575
0.00873	0.46171
0.00873	0.45640
0.00873	0.45930
0.00873	0.46171
0.00873	0.46220
0.00873	0.45994
0.00873	0.45785
0.00873	0.45833
0.00873	0.46220
0.00873	0.45849
0.01309	0.45575
0.01745	0.45753
0.02182	0.45221
0.03054	0.45253
0.03054	0.46139
0.02618	0.46349
0.03054	0.46010
0.03491	0.45704
0.05236	0.45173
0.08727	0.45446
0.11781	0.46252
0.15272	0.46671
0.20508	0.45962
0.22253	0.45704
0.25307	0.45285
0.29671	0.45720
0.32289	0.46204
0.32289	0.46478
0.32289	0.46026
0.31852	0.45720
0.30543	0.45479
0.28362	0.45962
0.26616	0.46123
0.26180	0.46204
0.26180	0.45720
0.26180	0.45608
0.26180	0.45930
0.25744	0.46316
0.23562	0.46010
0.23126	0.46059
0.21817	0.45704
0.20508	0.45656
0.19199	0.45704
0.18762	0.46010
0.17890	0.45881
0.17017	0.45769
0.16144	0.45817
0.15272	0.45785
0.15708	0.46043
0.16144	0.46043
0.17453	0.46268
0.17453	0.46204
0.17453	0.45946
0.17890	0.45543
0.18762	0.46155
0.20071	0.45624
0.19635	0.45656
0.19635	0.45914
0.19635	0.45640
0.19199	0.45720
0.18326	0.45881
0.17890	0.45656
0.17890	0.45173
0.17017	0.45414
0.17017	0.45865
0.16581	0.45914
0.16581	0.46204
0.15708	0.45898
0.15708	0.45624
0.15708	0.45318
0.15272	0.45527
0.15272	0.45608
0.15272	0.45511
0.15272	0.46043
0.15272	0.45640
0.15272	0.45849
0.15272	0.45946
0.15272	0.45801
0.15272	0.45978
0.15272	0.45978
0.13090	0.44464
0.11345	0.43014
0.10472	0.42337
0.10472	0.42192
0.10472	0.42627
0.10036	0.42160
0.07418	0.40017
0.06981	0.39018
0.06981	0.39566
0.06981	0.39099
0.06981	0.39775
0.06981	0.39308
0.06981	0.39421
0.06981	0.38873
0.03054	0.35683
0.00436	0.34088
-0.00873	0.32396
-0.01745	0.31575
-0.03054	0.31285
-0.04363	0.29625
-0.05672	0.27772
-0.07418	0.27273
-0.08727	0.25420
-0.09599	0.24486
-0.09599	0.24486
-0.09599	0.24196
-0.10036	0.24405
-0.10036	0.25017
-0.10036	0.24856
-0.10036	0.25001
-0.10036	0.24341
-0.10036	0.24808
-0.10036	0.24502
-0.10036	0.24550
-0.10036	0.24405
-0.10036	0.24083
-0.10036	0.24776
-0.10036	0.24486
-0.10036	0.24131
-0.10036	0.25050
-0.10036	0.24872
-0.10036	0.25114
-0.10036	0.24518
-0.10036	0.24244
-0.10036	0.24421
-0.10908	0.24147
-0.13090	0.22021
-0.13963	0.21070
-0.13963	0.20893
-0.13963	0.20845
-0.13963	0.21183
-0.13963	0.21135
-0.16581	0.19089
-0.17890	0.17639
-0.17890	0.17671
-0.17890	0.17284
-0.17890	0.17800
-0.18326	0.16978
-0.20508	0.15254
-0.21380	0.14771
-0.21380	0.14384
-0.21380	0.14900
-0.21380	0.14497
-0.21380	0.14175
-0.22253	0.14094
-0.23998	0.11726
-0.24871	0.11597
-0.25307	0.10985
-0.25307	0.11146
-0.25307	0.11758
-0.27053	0.10775
-0.28798	0.08922
-0.30107	0.07746
-0.31416	0.06957
-0.32725	0.06506
-0.34034	0.05829
-0.35343	0.05185
-0.36216	0.03976
-0.37525	0.03976
-0.38834	0.03863
-0.39706	0.03251
-0.41015	0.03058
-0.42324	0.01898
-0.42761	0.02075
-0.42761	0.01753
-0.42761	0.02220
-0.42761	0.01914
-0.42761	0.01930
-0.43197	0.02091
-0.43197	0.02236
-0.43197	0.02623
-0.43197	0.02381
-0.43197	0.02494
-0.43197	0.02413
-0.43197	0.02510
-0.43197	0.02268
-0.43197	0.02397
-0.44942	0.02236
-0.46251	0.01624
-0.46251	0.01995
-0.46251	0.01737
-0.46688	0.01640
-0.48869	0.00786
-0.50615	0.01382
-0.51924	0.01560
-0.53233	0.01560
-0.54542	0.01173
-0.56287	0.01688
-0.57596	0.02011
-0.58469	0.01962
-0.58469	0.02140
-0.59778	0.02140
-0.61959	0.02865
-0.62832	0.03622
-0.62832	0.03364
-0.62832	0.03670
-0.62832	0.03251
-0.62832	0.03557
-0.62832	0.03042
-0.62832	0.03831
-0.62832	0.03428
-0.62832	0.03026
-0.62832	0.03573
-0.62832	0.03992
-0.62832	0.03525
-0.62832	0.03364
-0.62832	0.03606
-0.62832	0.03541
-0.62832	0.03718
-0.62832	0.03718
-0.62832	0.03847
-0.62832	0.03573
-0.62832	0.04025
-0.62832	0.03477
-0.62832	0.03928
-0.65014	0.04492
-0.66759	0.05958
-0.66759	0.05716
-0.66759	0.05700
-0.66759	0.04991
-0.68504	0.05765
-0.69813	0.07134
-0.70250	0.07553
-0.70250	0.07585
-0.70686	0.07521
-0.72431	0.08520
-0.72867	0.08729
-0.72867	0.09486
-0.72867	0.09454
-0.74613	0.10453
-0.76358	0.10968
-0.77231	0.12000
-0.77231	0.11903
-0.78540	0.13530
-0.80285	0.15012
-0.81594	0.15802
-0.83339	0.16881
-0.85085	0.18670
-0.86394	0.20023
-0.87703	0.21457
-0.89012	0.22536
-0.90321	0.23745
-0.91630	0.25243
-0.93375	0.26612
-0.94684	0.27563
-0.95993	0.29416
-0.97302	0.30946
-0.99484	0.32316
-1.01229	0.33975
-1.02974	0.36295
-1.05156	0.37616
-1.05592	0.38180
-1.05592	0.38196
-1.05592	0.38148
-1.05592	0.38309
-1.05592	0.38631
-1.05592	0.38519
-1.05592	0.38422
-1.05592	0.38937
-1.05592	0.38647
-1.05592	0.38792
-1.05592	0.38825
-1.05592	0.38712
-1.05592	0.38776
-1.05592	0.38857
-1.06029	0.38857
-1.06029	0.38905
-1.06029	0.38599
-1.08210	0.40468
-1.09519	0.41773
-1.10828	0.42998
-1.12574	0.43723
-1.13883	0.44979
-1.14319	0.44738
-1.15192	0.45946
-1.15628	0.45479
-1.15628	0.45881
-1.15628	0.46574
-1.15628	0.46381
-1.18682	0.48056
-1.20428	0.48894
-1.21737	0.49651
-1.23482	0.50103
-1.25227	0.51714
-1.26973	0.51794
-1.28718	0.53244
-1.31772	0.53711
-1.33954	0.54420
-1.35263	0.53583
-1.37008	0.53921
-1.39190	0.54888
-1.41808	0.54275
-1.44426	0.53937
-1.44862	0.53985
-1.44862	0.53728
-1.45299	0.53244
-1.45299	0.53744
-1.45299	0.54050
-1.44862	0.54163
-1.44862	0.53840
-1.44862	0.53953
-1.44862	0.53792
-1.44862	0.54130
-1.44862	0.53889
-1.44862	0.54098
-1.44862	0.54340
-1.44862	0.54114
-1.45735	0.53454
-1.47917	0.53164
-1.49226	0.52938
-1.50098	0.52278
-1.51844	0.51585
-1.53153	0.51021
-1.55334	0.50119
-1.57516	0.49329
-1.58825	0.48250
-1.60570	0.46751
-1.62316	0.46010
-1.64061	0.44899
-1.65806	0.43062
-1.67115	0.42337
-1.68861	0.40533
-1.70606	0.38873
-1.72788	0.37165
-1.75406	0.34169
-1.77151	0.33234
-1.78460	0.32364
-1.80205	0.30334
-1.81951	0.28852
-1.83696	0.27176
-1.85878	0.25082
-1.87623	0.22955
-1.89368	0.21296
-1.91550	0.19379
-1.93732	0.17880
-1.95477	0.16237
-1.97222	0.14513
-1.98531	0.13417
-1.98531	0.13401
-1.98531	0.13256
-1.98531	0.13740
-1.98531	0.13562
-1.98531	0.13127
-1.98531	0.12853
-1.98531	0.13353
-1.98531	0.13288
-1.98531	0.13353
-1.98531	0.13707
-1.98531	0.13353
-1.98531	0.12950
-1.98968	0.13095
-2.02458	0.10920
-2.04204	0.09438
-2.05513	0.08745
-2.06822	0.07295
-2.08567	0.06973
-2.10749	0.05056
-2.13367	0.04153
-2.16421	0.02961
-2.18602	0.02478
-2.20348	0.01640
-2.21657	0.01398
-2.23402	0.01543
-2.25147	0.00899
-2.27329	0.01366
-2.29947	0.01221
-2.31692	0.01415
-2.33001	0.02043
-2.34310	0.02462
-2.34747	0.02349
-2.34747	0.01946
-2.34747	0.02140
-2.36928	0.02993
-2.39983	0.03976
-2.41728	0.04798
-2.42601	0.06038
-2.42601	0.05603
-2.42601	0.06055
-2.42601	0.06006
-2.42601	0.05265
-2.42601	0.05684
-2.42601	0.05845
-2.42601	0.05507
-2.42601	0.06087
-2.42601	0.05732
-2.42601	0.06071
-2.42601	0.05313
-2.42601	0.05829
-2.43037	0.05684
-2.45219	0.07521
-2.46964	0.08036
-2.47400	0.08278
-2.47400	0.08568
-2.47400	0.08568
-2.47400	0.08439
-2.47400	0.08004
-2.47400	0.08600
-2.47400	0.08987
-2.47400	0.08439
-2.47400	0.08552
-2.50891	0.11001
-2.52636	0.12435
-2.52636	0.12580
-2.53509	0.12708
-2.56127	0.14577
-2.58309	0.16849
-2.60054	0.18299
-2.61799	0.20458
-2.63981	0.21699
-2.66163	0.23809
-2.67908	0.25936
-2.69653	0.27273
-2.71835	0.29239
-2.73580	0.31462
-2.74889	0.32010
-2.76198	0.33927
-2.77944	0.34958
-2.79689	0.35796
-2.81434	0.37616
-2.83616	0.39630
-2.87107	0.41805
-2.89288	0.43884
-2.90597	0.44593
-2.90597	0.44673
-2.90597	0.44351
-2.90597	0.44689
-2.90597	0.43948
-2.90597	0.44512
-2.90597	0.44866
-2.90597	0.44673
-2.90597	0.44190
-2.90597	0.44963
-2.90597	0.44689
-2.90597	0.44641
-2.91034	0.44705
-2.91034	0.44383
-2.91034	0.44834
-2.91034	0.45060
-2.94088	0.46574
-2.95397	0.47251
-2.96706	0.48234
-2.99324	0.49361
-3.01942	0.50586
-3.04124	0.51311
-3.06742	0.51166
-3.08487	0.51408
-3.09796	0.52100
-3.11978	0.52278
-3.13723	0.52406
-3.15468	0.52020
