Polarization of Light 'Brewsters' Data File Wed, Oct 22, 2025 4:27 PM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	0.26290
180.00000	0.25871
180.00000	0.25452
180.00000	0.25855
180.00000	0.25887
180.00000	0.26258
180.00000	0.25694
180.00000	0.25098
180.00000	0.25307
180.00000	0.25324
180.00000	0.25243
180.00000	0.26306
180.00000	0.25742
180.00000	0.26032
180.00000	0.26016
180.00000	0.26403
180.00000	0.25871
180.00000	0.25179
180.00000	0.25420
180.00000	0.28143
180.00000	0.25904
180.00000	0.25614
180.00000	0.27418
180.00000	0.28787
180.00000	0.27080
180.00000	0.26484
180.00000	0.26999
180.00000	0.27805
180.00000	0.27660
180.00000	0.27144
180.00000	0.27692
180.00000	0.27531
180.00000	0.27370
180.00000	0.27321
180.00000	0.27402
180.00000	0.27144
180.00000	0.27563
180.00000	0.27321
180.00000	0.27160
180.00000	0.26548
180.00000	0.27821
180.00000	0.27579
180.00000	0.26564
180.00000	0.27096
180.00000	0.27064
180.00000	0.27499
180.00000	0.27064
180.00000	0.27209
180.00000	0.27466
180.00000	0.32847
180.00000	0.34217
180.00000	0.34636
180.00000	0.34346
180.00000	0.33202
180.00000	0.33186
180.00000	0.34314
180.00000	0.33363
180.00000	0.32960
180.00000	0.33750
180.00000	0.33315
180.00000	0.33734
180.00000	0.32992
180.00000	0.33460
180.00000	0.33717
180.00000	0.33653
180.00000	0.33331
180.00000	0.33282
180.00000	0.33750
180.00000	0.33476
180.00000	0.32541
180.00000	0.33911
180.00000	0.33363
180.00000	0.33540
180.00000	0.33959
180.00000	0.33605
180.00000	0.33202
180.00000	0.33717
180.00000	0.33411
180.00000	0.32686
180.00000	0.33170
180.00000	0.33121
180.00000	0.32880
180.00000	0.33218
180.00000	0.33766
180.00000	0.33121
180.00000	0.33137
180.00000	0.33363
180.00000	0.33685
180.00000	0.32928
180.00000	0.33315
180.00000	0.33137
180.00000	0.33202
180.00000	0.32767
180.00000	0.33137
180.00000	0.33347
180.00000	0.33266
180.00000	0.33299
180.00000	0.33315
180.00000	0.33170
180.00000	0.33605
180.00000	0.33395
180.00000	0.32702
180.00000	0.32751
180.00000	0.32912
180.00000	0.33250
180.00000	0.32928
180.00000	0.33250
180.00000	0.33605
180.00000	0.33105
180.00000	0.32896
180.00000	0.33556
180.00000	0.33363
180.00000	0.33315
180.00000	0.33186
180.00000	0.32992
180.00000	0.33460
180.00000	0.33202
180.00000	0.33331
180.00000	0.33315
180.00000	0.33427
180.00000	0.33347
180.00000	0.33218
180.00000	0.32944
180.00000	0.33121
180.00000	0.33427
180.00000	0.32590
180.00000	0.33379
180.00000	0.32864
180.00000	0.32896
180.00000	0.32654
180.00000	0.32493
180.00000	0.32574
180.00000	0.32090
180.00000	0.31929
180.00000	0.31236
180.00000	0.32606
180.00000	0.32590
180.00000	0.32267
180.00000	0.32203
180.00000	0.30769
180.00000	0.31929
180.00000	0.31075
180.00000	0.31156
180.00000	0.32074
180.01667	0.31655
180.01667	0.30834
180.01667	0.31011
180.01667	0.30479
180.03333	0.30656
180.03333	0.30850
180.03333	0.30753
180.03333	0.30495
180.03333	0.30834
180.03333	0.30076
180.03333	0.30672
180.03333	0.28965
180.03333	0.27289
180.03333	0.25678
180.01667	0.24872
179.96667	0.22343
179.83333	0.20909
179.68333	0.20506
179.46667	0.21215
179.23333	0.28997
179.08333	0.34056
178.98333	0.20104
178.81667	-0.00116
178.61667	-0.00245
178.41667	-0.00390
178.28333	-0.00406
178.20000	-0.00325
178.16667	-0.00309
178.15000	-0.00213
178.13333	-0.00325
178.11667	0.32702
178.10000	0.03026
178.06667	-0.00052
178.03333	-0.00100
177.96667	-0.00197
177.83333	-0.00277
177.66667	-0.00180
177.50000	-0.00100
177.36667	0.16205
177.21667	0.28949
177.10000	-0.00068
177.03333	-0.00052
176.98333	0.24421
176.93333	0.28900
176.85000	0.26339
176.75000	0.26693
176.66667	0.25340
176.58333	0.28191
176.48333	0.45833
176.35000	0.32380
176.20000	0.32251
176.03333	0.26016
175.86667	0.35232
175.71667	0.27160
175.60000	0.28207
175.53333	0.27305
175.43333	0.38261
175.31667	0.32251
175.13333	0.38019
174.91667	0.32155
174.68333	0.35538
174.48333	0.18654
174.28333	0.36070
174.03333	0.25742
173.83333	0.22230
173.61667	0.29174
173.43333	0.35184
173.28333	0.45656
173.08333	0.36070
172.91667	0.38100
172.71667	0.38937
172.50000	0.34185
172.26667	0.40114
172.06667	0.29545
171.85000	0.30930
171.61667	0.36601
171.36667	0.30962
171.08333	0.40210
170.83333	0.29158
170.58333	0.20829
170.33333	0.37584
170.13333	0.19942
169.95000	0.31478
169.75000	0.25211
169.51667	0.26322
169.28333	0.27821
169.03333	0.21763
168.78333	0.28723
168.60000	0.26806
168.41667	0.29400
168.20000	0.25146
167.98333	0.05072
167.81667	0.11967
167.63333	0.06554
167.46667	0.13788
167.31667	0.15302
167.15000	0.20700
166.95000	0.35892
166.75000	0.26757
166.50000	0.25597
166.21667	0.21972
165.95000	0.02558
165.71667	-0.00164
165.35000	-0.00213
164.95000	-0.00325
164.55000	-0.00197
164.13333	-0.00213
163.80000	-0.00213
163.60000	-0.00229
163.51667	-0.00132
163.46667	-0.00309
163.40000	-0.00325
163.35000	-0.00245
163.26667	0.02381
163.18333	0.14126
163.08333	-0.00052
162.93333	-0.00068
162.73333	0.30995
162.50000	0.26226
162.28333	0.30302
162.03333	0.37165
161.73333	0.33315
161.38333	0.04395
161.01667	-0.00116
160.63333	-0.00422
160.35000	-0.00406
160.11667	-0.00197
159.90000	-0.00293
159.71667	-0.00148
159.51667	-0.00261
159.31667	-0.00261
159.13333	0.01157
158.93333	0.08616
158.73333	-0.00068
158.55000	-0.00052
158.33333	0.15560
158.15000	0.16446
157.96667	0.47976
157.80000	0.38921
157.60000	0.40049
157.40000	0.44029
157.21667	0.39824
157.01667	0.41628
156.83333	0.55097
156.65000	0.59528
156.46667	0.37246
156.30000	0.56128
156.13333	0.39244
155.98333	0.55613
155.80000	0.37616
155.58333	0.49958
155.36667	0.43159
155.15000	0.45704
154.98333	0.58625
154.81667	0.41048
154.61667	0.36746
154.40000	0.40210
154.16667	0.42353
153.93333	0.41161
153.70000	0.38712
153.48333	0.43320
153.23333	0.59737
152.98333	0.45833
152.76667	0.42917
152.51667	0.19234
152.31667	0.02365
152.16667	-0.00261
152.01667	-0.00390
151.83333	0.15721
151.68333	0.49474
151.53333	-0.00068
151.40000	-0.00035
151.28333	0.72997
151.11667	0.55806
150.96667	0.68775
150.78333	0.67197
150.58333	0.39211
150.40000	0.36102
150.23333	0.41386
150.05000	0.54227
149.81667	0.50908
149.68333	0.74994
149.53333	0.82132
149.40000	0.52342
149.25000	0.54227
149.08333	0.53148
148.91667	0.65150
148.81667	0.36263
148.78333	0.21505
148.78333	0.01850
148.76667	-0.00261
148.76667	0.19765
148.71667	0.37504
148.73333	-0.00132
148.73333	-0.00068
148.73333	0.66262
148.73333	0.65956
148.73333	0.64989
148.73333	0.64039
148.73333	0.63104
148.75000	0.63056
148.75000	0.61413
148.75000	0.61670
148.75000	0.62266
148.75000	0.63249
148.75000	0.63620
148.75000	0.63346
148.75000	0.62428
148.75000	0.62460
148.75000	0.61703
148.76667	0.62105
148.76667	0.64442
148.76667	0.55339
148.76667	0.54356
148.76667	0.49039
148.76667	0.34958
148.76667	0.29045
148.76667	0.53550
148.75000	0.46751
148.75000	0.67777
148.75000	0.72159
148.75000	0.58915
148.75000	0.66182
148.73333	0.59383
148.73333	0.53083
148.73333	0.38422
148.73333	-0.00164
148.70000	-0.00406
148.55000	0.18315
148.30000	0.40790
148.16667	-0.00084
148.13333	-0.00068
148.11667	0.44754
148.08333	0.42740
148.06667	0.41064
148.05000	0.05023
148.01667	-0.00180
148.00000	-0.00164
147.98333	-0.00164
147.93333	-0.00277
147.75000	-0.00213
147.21667	0.41515
146.68333	0.55210
146.50000	-0.00100
146.43333	-0.00068
146.41667	0.60478
146.40000	0.62025
146.40000	0.63572
146.41667	0.68163
146.41667	0.81697
146.41667	0.53518
146.41667	0.61864
146.40000	0.68743
146.40000	0.63346
146.41667	0.79989
146.41667	0.76219
146.40000	0.60494
146.40000	0.64860
146.38333	0.56901
146.36667	0.48411
146.36667	0.46300
146.35000	0.46220
146.33333	0.43239
146.21667	0.57175
145.96667	0.75349
145.63333	0.52600
145.18333	0.44077
144.76667	0.08777
144.43333	-0.00197
144.16667	-0.00277
144.03333	-0.00100
143.91667	0.00061
143.75000	-0.00261
143.55000	0.00029
143.33333	0.29851
143.10000	-0.00100
142.90000	-0.00052
142.71667	0.46590
142.55000	0.75542
142.35000	0.67422
142.11667	0.34716
141.86667	0.38519
141.66667	0.16124
141.48333	0.05410
141.35000	0.01382
141.20000	0.07231
141.03333	0.20651
140.86667	0.32686
140.66667	0.60285
140.41667	0.74962
140.16667	0.78007
139.95000	0.74575
139.75000	0.71498
139.53333	0.72932
139.35000	0.72852
139.16667	0.69049
138.95000	0.71353
138.76667	0.75542
138.60000	0.62653
138.43333	0.43803
138.30000	0.57481
138.18333	0.54372
138.06667	0.95262
137.98333	0.81374
137.81667	0.67358
137.65000	0.82857
137.43333	0.65263
137.20000	0.75075
137.00000	0.68792
136.80000	0.72094
136.60000	0.74205
136.43333	0.99548
136.25000	1.02013
136.03333	0.69436
135.81667	0.93184
135.58333	1.04349
135.35000	1.01449
135.11667	0.79505
134.98333	0.80698
134.93333	0.71305
134.91667	0.75929
134.90000	0.76847
134.90000	0.79425
134.90000	0.79650
134.90000	0.79618
134.90000	0.80649
134.90000	0.80327
134.90000	0.80665
134.90000	0.79489
134.90000	0.84951
134.90000	0.81809
134.90000	0.83324
134.90000	0.84194
134.90000	0.85064
134.91667	0.82293
134.91667	0.82647
134.91667	0.73383
134.91667	0.72771
134.91667	0.83549
134.91667	0.77604
134.91667	0.93345
134.91667	0.73045
134.90000	0.99983
134.90000	0.99467
134.90000	0.71031
134.90000	0.88447
134.88333	0.99048
134.75000	0.73995
134.41667	0.38631
134.10000	0.44383
133.95000	0.79812
133.78333	0.92249
133.60000	0.73850
133.40000	0.97534
133.20000	0.69565
133.03333	0.43497
132.90000	0.10324
132.75000	0.19991
132.60000	0.40549
132.43333	0.52986
132.26667	0.78893
132.10000	0.92991
131.95000	0.88592
131.78333	0.83678
131.60000	0.76718
131.38333	1.10906
131.15000	1.12372
130.88333	1.05348
130.66667	0.79957
130.45000	1.01336
130.23333	0.79457
130.03333	0.87545
129.80000	0.91073
129.58333	0.89430
129.35000	0.90912
129.10000	1.14966
128.85000	0.77395
128.61667	1.14757
128.36667	1.13258
128.13333	0.50006
127.88333	0.20152
127.68333	0.00287
127.48333	0.02768
127.30000	0.00915
127.15000	0.03171
126.98333	0.01286
126.75000	0.02993
126.51667	0.01173
126.26667	0.26097
126.05000	0.01431
125.86667	0.03300
125.68333	0.01382
125.50000	0.06538
125.36667	-0.00035
125.21667	-0.00068
125.08333	0.65569
124.91667	0.73802
124.75000	1.01739
124.56667	1.15901
124.35000	1.00208
124.15000	1.25020
123.98333	1.41340
123.83333	0.88254
123.66667	1.00224
123.45000	0.95166
123.23333	1.25406
123.00000	1.09311
122.75000	0.94505
122.51667	0.49587
122.30000	0.15157
122.13333	0.18186
121.95000	0.09035
121.76667	0.05603
121.56667	0.02107
121.31667	0.02558
121.05000	0.04073
120.81667	0.04927
120.60000	0.07279
120.43333	-0.00035
120.30000	-0.00052
120.16667	0.76106
119.98333	0.90606
119.78333	0.87013
119.55000	0.98130
119.31667	0.93941
119.08333	0.97099
118.85000	1.02222
118.63333	1.03334
118.41667	0.96148
118.18333	0.91831
117.91667	1.12260
117.61667	1.40213
117.31667	1.22571
117.03333	1.53150
116.73333	1.40035
116.46667	1.50636
116.23333	1.64863
115.98333	1.41969
115.71667	1.44031
115.41667	1.60013
115.10000	1.54568
114.80000	1.34783
114.53333	1.54938
114.26667	1.78428
114.01667	1.79041
113.83333	1.63815
113.65000	1.49734
113.46667	1.46834
113.26667	1.29499
113.01667	1.49831
112.75000	1.51329
112.48333	1.49573
112.28333	1.45416
112.03333	1.94008
111.76667	1.68391
111.45000	1.15530
111.15000	0.28288
110.90000	0.13740
110.71667	0.30592
110.55000	0.02526
110.40000	0.05136
110.26667	-0.00100
110.15000	-0.00100
110.01667	0.29706
109.86667	0.77830
109.70000	0.91234
109.53333	1.31835
109.35000	1.13355
109.15000	1.33768
108.98333	1.36491
108.83333	1.26421
108.66667	1.27130
108.43333	1.25100
108.16667	1.42855
107.85000	1.11567
107.50000	0.88560
107.15000	0.14352
106.80000	0.06216
106.51667	0.03622
106.28333	0.04492
106.10000	0.04717
105.93333	0.05120
105.75000	0.05523
105.55000	0.05893
105.35000	0.85032
105.13333	-0.00068
104.95000	-0.00068
104.80000	1.68101
104.70000	1.72902
104.58333	1.65008
104.45000	2.12165
104.31667	2.10151
104.20000	1.81457
104.11667	2.18352
104.01667	1.82843
103.95000	1.90463
103.91667	2.00017
103.90000	1.95216
103.86667	2.24152
103.76667	1.59240
103.63333	1.89030
103.50000	1.42114
103.36667	1.26953
103.20000	0.57369
103.01667	0.06377
102.85000	0.05700
102.75000	0.05168
102.68333	0.05120
102.61667	1.44224
102.56667	2.13406
102.53333	-0.00019
102.51667	-0.00035
102.50000	1.96086
102.48333	1.74127
102.46667	1.62752
102.40000	1.57887
102.21667	1.90399
102.06667	1.68584
101.98333	1.67022
101.88333	2.13793
101.76667	2.03852
101.70000	2.17015
101.63333	2.45548
101.55000	2.24539
